id,kanji,meaning,reading,tag
549,留学生,international student,りゅうがくせい,JLPT N5
550,両親,"parents (lit., both parents)",りょうしん,JLPT N5
551,料理,cooking; cuisine,りょうり,JLPT N5
552,旅行,"travel, trip",りょこう,JLPT N5
553,零,"zero, nought",れい,JLPT N5
554,冷蔵庫,refrigerator,れいぞうこ,JLPT N5
555,練習,(to) practice,れんしゅう,JLPT N5
556,廊下,corridor,ろうか,JLPT N5
557,六,six,ろく,JLPT N5
558,若い,young,わかい,JLPT N5
559,分かる,to understand,わかる,JLPT N5
560,忘れる,to forget,わすれる,JLPT N5
561,私,"I, myself",わたし,JLPT N5
562,私,"I (formal), myself, private affairs",わたくし,JLPT N5
563,渡す,to hand (something) over (v.t.); to get across,わたす,JLPT N5
564,渡る,"to cross over, to go across",わたる,JLPT N5
565,悪い,"bad, sinful; inferior",わるい,JLPT N5
566,踏む,"to step on, to tread on",ふむ,JLPT N4
567,～区,"~ district, ~ ward, ~ borough",～く,JLPT N4
568,盗む,to steal; to rob,ぬすむ,JLPT N4
569,大抵,"generally, usually",たいてい,JLPT N4
570,鳴る,"to sound, to ring (v.i.)",なる,JLPT N4
571,生きる,to live,いきる,JLPT N4
572,苦い,bitter,にがい,JLPT N4
573,沸く,"to boil, to grow hot",わく,JLPT N4
574,意見,"opinion, view, idea",いけん,JLPT N4
575,漫画,"comic (book), cartoon",まんが,JLPT N4
576,医学,medical science,いがく,JLPT N4
577,～月,month,～つき,JLPT N4
